frame_number,timestamp_sec,anomaly_score,risk_status
0,0.0,0.52131,NORMAL
2,0.067,0.52071,NORMAL
4,0.133,0.46683,NORMAL
6,0.2,0.4517,NORMAL
8,0.267,0.4346,NORMAL
10,0.333,0.43503,NORMAL
12,0.4,0.46901,NORMAL
14,0.467,0.44137,NORMAL
16,0.533,0.4429,NORMAL
18,0.6,0.45182,NORMAL
20,0.667,0.43597,NORMAL
22,0.733,0.44019,NORMAL
24,0.8,0.45282,NORMAL
26,0.867,0.46663,NORMAL
28,0.933,0.48067,NORMAL
30,1.0,0.47344,NORMAL
32,1.067,0.46341,NORMAL
34,1.133,0.45614,NORMAL
36,1.2,0.43916,NORMAL
38,1.267,0.43618,NORMAL
40,1.333,0.47039,NORMAL
42,1.4,0.44827,NORMAL
44,1.467,0.44649,NORMAL
46,1.533,0.44313,NORMAL
48,1.6,0.48231,NORMAL
50,1.667,0.47136,NORMAL
52,1.733,0.46509,NORMAL
54,1.8,0.46572,NORMAL
56,1.867,0.48084,NORMAL
58,1.933,0.48002,NORMAL
60,2.0,0.71305,CRITICAL
62,2.067,0.70853,CRITICAL
64,2.133,0.69928,CRITICAL
66,2.2,0.74159,CRITICAL
68,2.267,0.74043,CRITICAL
70,2.333,0.7713,CRITICAL
72,2.4,0.75241,CRITICAL
74,2.467,0.72038,CRITICAL
76,2.533,0.74122,CRITICAL
78,2.6,0.7393,CRITICAL
80,2.667,0.70976,CRITICAL
82,2.733,0.73608,CRITICAL
84,2.8,0.7151,CRITICAL
86,2.867,0.71078,CRITICAL
88,2.933,0.70911,CRITICAL
90,3.0,0.71556,CRITICAL
92,3.067,0.7191,CRITICAL
94,3.133,0.76849,CRITICAL
96,3.2,0.73034,CRITICAL
98,3.267,0.7879,CRITICAL
100,3.333,0.47533,NORMAL
102,3.4,0.46816,NORMAL
104,3.467,0.43431,NORMAL
106,3.533,0.45766,NORMAL
108,3.6,0.4207,NORMAL
110,3.667,0.41529,NORMAL
112,3.733,0.40691,NORMAL
114,3.8,0.41979,NORMAL
116,3.867,0.44755,NORMAL
118,3.933,0.48635,NORMAL
120,4.0,0.50326,NORMAL
122,4.067,0.53847,NORMAL
124,4.133,0.52179,NORMAL
126,4.2,0.54115,NORMAL
128,4.267,0.55781,NORMAL
130,4.333,0.52719,NORMAL
132,4.4,0.51992,NORMAL
134,4.467,0.53097,NORMAL
136,4.533,0.53211,NORMAL
138,4.6,0.53171,NORMAL
140,4.667,0.51972,NORMAL
142,4.733,0.53448,NORMAL
144,4.8,0.53146,NORMAL
146,4.867,0.51235,NORMAL
148,4.933,0.52916,NORMAL
150,5.0,0.52359,NORMAL
152,5.067,0.54876,NORMAL
154,5.133,0.53367,NORMAL
156,5.2,0.51702,NORMAL
158,5.267,0.50601,NORMAL
