timestamp,final_risk_score,risk_status,buzzer_state,motor_relay_state,beacon_color,hardware_mode,details
2026-09-10T12:00:43.807186,0.485,NORMAL,OFF,CLOSED (RUNNING),GREEN,SIMULATED,Conveyor operates at full speed. All systems nominal.
2026-09-10T12:00:43.807186,0.652,WARNING,PULSE_CHIRP (1 Hz),CLOSED (MAINTAIN MOTION),AMBER,SIMULATED,Preventive inspection flagged. Maintenance team notified via SCADA.
2026-09-10T12:00:43.807186,0.745,CRITICAL,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,SIMULATED,CRITICAL JOINT RUPTURE HAZARD! Conveyor motor tripped immediately.
2026-09-10T12:01:17.655599,0.42758,NORMAL,OFF,CLOSED (RUNNING),GREEN,SIMULATED,Conveyor operates at full speed. All systems nominal.
2026-09-10T12:01:44.963234,0.42458,NORMAL,OFF,CLOSED (RUNNING),GREEN,SIMULATED,Conveyor operates at full speed. All systems nominal.
2026-09-10T12:01:46.813306,0.39563,NORMAL,OFF,CLOSED (RUNNING),GREEN,SIMULATED,Conveyor operates at full speed. All systems nominal.
2026-09-10T12:08:12.856907,0.40895,NORMAL,OFF,CLOSED (RUNNING),GREEN,SIMULATED,Conveyor operates at full speed. All systems nominal.
2026-09-10T12:08:12.856907,0.65991,WARNING,PULSE_CHIRP (1 Hz),CLOSED (MAINTAIN MOTION),AMBER,SIMULATED,Preventive inspection flagged. Maintenance team notified via SCADA.
2026-09-10T12:08:12.858911,0.92315,CRITICAL,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,SIMULATED,CRITICAL JOINT RUPTURE HAZARD! Conveyor motor tripped immediately.
2026-09-10T12:08:12.858911,0.93492,CRITICAL,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,SIMULATED,CRITICAL JOINT RUPTURE HAZARD! Conveyor motor tripped immediately.
2026-09-10T12:08:12.858911,0.85606,CRITICAL,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,SIMULATED,CRITICAL JOINT RUPTURE HAZARD! Conveyor motor tripped immediately.
