timestamp,frame_idx,visual_score,visual_risk,sensor_score,sensor_risk,dominant_sensor,sensor_data_source,final_risk_score,risk_status,consensus_state,buzzer_state,motor_relay_state,beacon_color,hardware_command,temperature_c,vibration_rms_mms,speed_slip_pct,tension_kn
2026-09-10T14:08:32.882740,0,0.52131,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.44872,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:34.264696,5,0.47602,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.42155,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:35.383346,10,0.43503,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.39695,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:36.601587,15,0.44999,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.40593,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:37.765711,20,0.43597,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.39752,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:39.045173,25,0.46743,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.41639,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:40.174972,30,0.47344,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.42,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:41.323465,35,0.44753,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.40445,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:42.498113,40,0.47039,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.41817,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:43.637406,45,0.44114,NORMAL,0.33984,NORMAL,temperature_c,SIMULATED — not a real measurement,0.40062,NORMAL,NOMINAL_OPERATION,OFF,CLOSED (RUNNING),GREEN,CMD_STATUS_NORMAL,36.5,1.42,1.8,22.4
2026-09-10T14:08:44.854703,50,0.47136,NORMAL,0.85273,CRITICAL,temperature_c,SIMULATED — not a real measurement,0.85273,CRITICAL,SENSOR_DOMINANT_MECHANICAL_DISTRESS,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,CMD_EMERGENCY_HALT_BUZZER_ON,78.5,2.8,4.5,21.0
2026-09-10T14:08:45.999253,55,0.46546,NORMAL,0.85273,CRITICAL,temperature_c,SIMULATED — not a real measurement,0.85273,CRITICAL,SENSOR_DOMINANT_MECHANICAL_DISTRESS,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,CMD_EMERGENCY_HALT_BUZZER_ON,78.5,2.8,4.5,21.0
2026-09-10T14:08:47.241610,60,0.71305,CRITICAL,0.85273,CRITICAL,temperature_c,SIMULATED — not a real measurement,0.90273,CRITICAL,CONFIRMED_MULTIMODAL_EMERGENCY,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,CMD_EMERGENCY_HALT_BUZZER_ON,78.5,2.8,4.5,21.0
2026-09-10T14:08:48.425467,65,0.75637,CRITICAL,0.85273,CRITICAL,temperature_c,SIMULATED — not a real measurement,0.90273,CRITICAL,CONFIRMED_MULTIMODAL_EMERGENCY,ON (CONTINUOUS 95dB),OPEN (MOTOR TRIPPED / EMERGENCY STOP),FLASHING_RED,CMD_EMERGENCY_HALT_BUZZER_ON,78.5,2.8,4.5,21.0
